job_id,tab,position,total_jobs_in_tab,company,title,url,scraped_at
reco-150926016325,default,44,,ITC Infotech,Functional Tester - Trade Finance,https://www.naukri.com/job-listings-150926016325,2026-09-18T16:20:37.281312+00:00
reco-170926019653,default,45,,Cyient,Master Data Engineer,https://www.naukri.com/job-listings-170926019653,2026-09-18T16:20:39.225381+00:00
reco-170926008569,default,46,,Honeybee Tech Solutions,PLSQL Developer,https://www.naukri.com/job-listings-170926008569,2026-09-18T16:20:41.173813+00:00
reco-160926022608,default,47,,Globallogic,full stack engineer-.Net React ADF,https://www.naukri.com/job-listings-160926022608,2026-09-18T16:20:43.103086+00:00
reco-170926923074,default,48,,Sarvaha Systems,Java Full stack Developer,https://www.naukri.com/job-listings-170926923074,2026-09-18T16:20:45.042298+00:00
reco-260826028368,default,49,,Zeominds It Solutions,Data Scientist / Data Engineer,https://www.naukri.com/job-listings-260826028368,2026-09-18T16:20:46.992877+00:00
reco-150926039103,default,50,,EXL,Power Bi Consultant,https://www.naukri.com/job-listings-150926039103,2026-09-18T16:20:49.008512+00:00
reco-080426034452,other,1,47,Deloitte US-India Offices,SDE -2,https://www.naukri.com/job-listings-080426034452,2026-09-18T16:22:51.361103+00:00
reco-170926923526,other,2,47,Razorthink,Trainee Software Engineers – Freshers,https://www.naukri.com/job-listings-170926923526,2026-09-18T16:22:53.224517+00:00
reco-160926008205,other,3,47,Optum,Data Engineer,https://www.naukri.com/job-listings-160926008205,2026-09-18T16:22:55.077329+00:00
reco-170926024191,other,4,47,CGI,ETL Automation tester,https://www.naukri.com/job-listings-170926024191,2026-09-18T16:22:56.929853+00:00
reco-170926022875,other,5,47,Persistent,Data Engineer,https://www.naukri.com/job-listings-170926022875,2026-09-18T16:22:58.773536+00:00
reco-150926018616,other,6,47,Tata Elxsi,Data Engineer,https://www.naukri.com/job-listings-150926018616,2026-09-18T16:23:00.645551+00:00
reco-110926021941,other,7,47,Brillio,AWS Developer,https://www.naukri.com/job-listings-110926021941,2026-09-18T16:23:02.555282+00:00
reco-110926005132,other,8,47,Tata Consultancy Services,AI Engineer,https://www.naukri.com/job-listings-110926005132,2026-09-18T16:23:04.426830+00:00
reco-110926008201,other,9,47,Bajaj General Insurance,Senior Gen Ai Engineer,https://www.naukri.com/job-listings-110926008201,2026-09-18T16:23:06.275208+00:00
reco-170926012021,other,10,47,RiDiK,Python Support Engineer,https://www.naukri.com/job-listings-170926012021,2026-09-18T16:23:08.144551+00:00
reco-170926012360,other,11,47,KPMG India,Consultant,https://www.naukri.com/job-listings-170926012360,2026-09-18T16:23:09.992658+00:00
reco-070826013198,other,12,47,Ensemble Health Partners,RPA Engineer,https://www.naukri.com/job-listings-070826013198,2026-09-18T16:23:13.754709+00:00
reco-160926043965,other,13,47,HCLTech,Gen AI Engineer,https://www.naukri.com/job-listings-160926043965,2026-09-18T16:23:17.431959+00:00
reco-070926919149,other,14,47,Mongodb,Associate TSE I,https://www.naukri.com/job-listings-070926919149,2026-09-18T16:23:19.290996+00:00
reco-100326016136,other,15,47,PubMatic,"Senior Software Engineer - C/C++, Linux/ Unix, Cloud",https://www.naukri.com/job-listings-100326016136,2026-09-18T16:23:21.143067+00:00
reco-100926933876,other,16,47,ZS,Business Technology Solutions Associate - ETL,https://www.naukri.com/job-listings-100926933876,2026-09-18T16:23:22.988818+00:00
reco-140926021518,other,17,47,Talentzo Delhi,Data Engineer at A FinTech Company,https://www.naukri.com/job-listings-140926021518,2026-09-18T16:23:26.694092+00:00
reco-150926503071,other,18,47,Toolsbots,Software Engineering Intern,https://www.naukri.com/job-listings-150926503071,2026-09-18T16:23:31.697852+00:00
reco-170926035422,other,19,47,EY,Ardoq Developer,https://www.naukri.com/job-listings-170926035422,2026-09-18T16:23:33.506462+00:00
reco-140926902516,other,20,47,Conduent,App Dev & Support Engineer II,https://www.naukri.com/job-listings-140926902516,2026-09-18T16:23:35.345969+00:00
reco-160926933123,other,21,47,F5,Site Reliability Engineer I,https://www.naukri.com/job-listings-160926933123,2026-09-18T16:23:37.222918+00:00
reco-150926931772,other,22,47,Leading Client,RPA -UI path Developer,https://www.naukri.com/job-listings-150926931772,2026-09-18T16:23:39.072594+00:00
reco-110926909094,other,23,47,Wells Fargo,Software Engineer - AI Engineer,https://www.naukri.com/job-listings-110926909094,2026-09-18T16:23:40.969416+00:00
reco-170826014315,other,24,47,Cognizant,Hiring FileNet Developer,https://www.naukri.com/job-listings-170826014315,2026-09-18T16:23:42.849113+00:00
reco-150925027795,profile,1,62,Infosys,PLSQL Developer _ Infosys,https://www.naukri.com/job-listings-150925027795,2026-09-18T16:23:52.764774+00:00
reco-130926003791,profile,2,62,PwC,Developer,https://www.naukri.com/job-listings-130926003791,2026-09-18T16:23:54.598548+00:00
reco-150926017772,profile,3,62,Cognizant,Hiring OpenText Powerdocs,https://www.naukri.com/job-listings-150926017772,2026-09-18T16:23:56.456174+00:00
reco-150926006328,profile,4,62,LTM,IDMC Developer,https://www.naukri.com/job-listings-150926006328,2026-09-18T16:23:58.291544+00:00
reco-100926009033,profile,5,62,Multinational Company,FDI Developer,https://www.naukri.com/job-listings-100926009033,2026-09-18T16:24:00.157191+00:00
reco-100926015526,profile,6,62,EY,US Regulatory Reporting Staff & Seniors,https://www.naukri.com/job-listings-100926015526,2026-09-18T16:24:02.055904+00:00
reco-140926503694,profile,7,62,Tsaaro,Senior Data Privacy Consultant,https://www.naukri.com/job-listings-140926503694,2026-09-18T16:24:03.939789+00:00
reco-160926939851,profile,8,62,Capgemini,PRE Sales Data Privacy Professional,https://www.naukri.com/job-listings-160926939851,2026-09-18T16:24:05.835685+00:00
reco-150926037040,profile,9,62,Cogenthub,WFH - Report Writer (IT),https://www.naukri.com/job-listings-150926037040,2026-09-18T16:24:07.716427+00:00
reco-080726037312,profile,10,62,KPMG India,Infrastructure Strategy Experts,https://www.naukri.com/job-listings-080726037312,2026-09-18T16:24:09.650928+00:00
reco-030726030077,profile,11,62,Deloitte US-India Offices,DocuSign CLM- Developer,https://www.naukri.com/job-listings-030726030077,2026-09-18T16:24:11.589697+00:00
reco-180926502232,profile,12,62,Blue Altair,Consultant - Data Governance (INDM),https://www.naukri.com/job-listings-180926502232,2026-09-18T16:24:13.479806+00:00
reco-150926005275,profile,13,62,PwC India,OKTA,https://www.naukri.com/job-listings-150926005275,2026-09-18T16:24:15.339343+00:00
reco-180926501822,profile,14,62,Cradlepoint,Enterprise Specialist - GSD,https://www.naukri.com/job-listings-180926501822,2026-09-18T16:24:17.224130+00:00
reco-020926013672,profile,15,62,Nagarro,IICS Developer,https://www.naukri.com/job-listings-020926013672,2026-09-18T16:24:19.092570+00:00
reco-160926000208,profile,16,62,Elbowcurve,Business Intelligence Developer,https://www.naukri.com/job-listings-160926000208,2026-09-18T16:24:21.018406+00:00
reco-080426038241,profile,17,62,Deloitte US-India Offices,Amazon Connect- Developer,https://www.naukri.com/job-listings-080426038241,2026-09-18T16:24:22.914968+00:00
reco-160926045723,profile,18,62,Tanisha Systems,PowerPoint Consultant-Freelance,https://www.naukri.com/job-listings-160926045723,2026-09-18T16:24:24.765336+00:00
reco-150926018161,profile,19,62,Top-Rated Financial Services Company,Senior Analyst/Manager - SAS Enterprise Guide & SQL with BFSI,https://www.naukri.com/job-listings-150926018161,2026-09-18T16:24:26.691343+00:00
reco-150926012051,profile,20,62,ZS,BTS Associate Consultant_IICS,https://www.naukri.com/job-listings-150926012051,2026-09-18T16:24:28.563158+00:00
reco-100926021211,profile,21,62,Tech Mahindra,Hiring MDM Informatica developers,https://www.naukri.com/job-listings-100926021211,2026-09-18T16:24:30.439436+00:00
reco-100926003053,profile,22,62,Alike Thoughts,Fusion Data Intelligence,https://www.naukri.com/job-listings-100926003053,2026-09-18T16:24:32.393754+00:00
reco-160926022217,profile,23,62,Aon,Data Governance Analyst,https://www.naukri.com/job-listings-160926022217,2026-09-18T16:24:34.453059+00:00
reco-180926907812,profile,24,62,ZS,Decision Analytics Associate Consultant - Advanced Analytics,https://www.naukri.com/job-listings-180926907812,2026-09-18T16:24:38.330395+00:00
reco-180926500963,profile,25,62,Careallianz,Architect-Data Engineer,https://www.naukri.com/job-listings-180926500963,2026-09-18T16:24:40.260876+00:00
reco-170926024398,profile,26,62,First Insight Software Solutions (I) Pvt Ltd,Senior Database Administrator,https://www.naukri.com/job-listings-170926024398,2026-09-18T16:24:42.254457+00:00
reco-160926504016,profile,27,62,Mastercard,Software Integration Engineer-II,https://www.naukri.com/job-listings-160926504016,2026-09-18T16:24:44.212385+00:00
reco-100926019180,profile,28,62,Essex Lake Group,Solution Intelligence Analyst II,https://www.naukri.com/job-listings-100926019180,2026-09-18T16:24:46.241492+00:00
reco-150926035725,profile,29,62,Hinduja Global Solutions (HGS),Oracle BRM Developer,https://www.naukri.com/job-listings-150926035725,2026-09-18T16:24:48.287756+00:00
reco-030626029444,profile,30,62,Innova Solutions,Reltio MDM Developer,https://www.naukri.com/job-listings-030626029444,2026-09-18T16:24:50.260949+00:00
reco-060826014084,profile,31,62,Everest Business Advisory India,Cybersecurity Technology - Research & Advisory,https://www.naukri.com/job-listings-060826014084,2026-09-18T16:24:52.207048+00:00
reco-140926916054,profile,32,62,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916054,2026-09-18T16:24:54.135136+00:00
reco-100926933985,profile,33,62,Infosys,IBM Filenet developer,https://www.naukri.com/job-listings-100926933985,2026-09-18T16:24:56.169480+00:00
reco-170926503414,profile,34,62,AMERICAN EXPRESS,Analyst - Data Governance & Management,https://www.naukri.com/job-listings-170926503414,2026-09-18T16:24:58.132307+00:00
reco-050926008195,profile,35,62,Innodata India,Technical Visual Reasoning Specialist (Telecommunication) | Remote,https://www.naukri.com/job-listings-050926008195,2026-09-18T16:25:00.038137+00:00
reco-140926502221,profile,36,62,Barclays,Lead data engineer- Ab Initio & AWS,https://www.naukri.com/job-listings-140926502221,2026-09-18T16:25:01.918906+00:00
reco-270726915086,profile,37,62,Capgemini,SAP BW4 HANA Consultant,https://www.naukri.com/job-listings-270726915086,2026-09-18T16:25:03.828551+00:00
reco-180926500483,profile,38,62,Zalaris,Qualtrics Platform Lead,https://www.naukri.com/job-listings-180926500483,2026-09-18T16:25:05.794372+00:00
reco-180926015404,profile,39,62,Coforge,Opportunity For Data Analyst (SQL & ETL) Professionals,https://www.naukri.com/job-listings-180926015404,2026-09-18T16:25:07.697864+00:00
reco-160926046239,profile,40,62,Tata Consultancy Services,Oracle Insurance Policy Administration (OIPA),https://www.naukri.com/job-listings-160926046239,2026-09-18T16:25:09.628779+00:00
reco-060926004979,profile,41,62,Epam Systems,Data Quality Engineer(ETL Automation) -PAN India Locations,https://www.naukri.com/job-listings-060926004979,2026-09-18T16:25:11.566669+00:00
reco-180926026498,profile,42,62,i Tech Realty LLC,Free Lance Real Estate Agent ( Collaboration ),https://www.naukri.com/job-listings-180926026498,2026-09-18T16:25:13.527809+00:00
reco-180926917135,profile,43,62,Acesoft Labs,Bi Report Developer,https://www.naukri.com/job-listings-180926917135,2026-09-18T16:25:15.495949+00:00
